Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instruction
Exercise 1,Cardio,Cable Machine,Core,Stretch,"glutes, hamstrings, calves",Squeeze the target muscles at the top of the movement.
Exercise 2,Mobility,Bodyweight,Full Body,Stretch,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 3,Mobility,Cable Machine,Upper Body,Push,"lats, rhomboids, biceps",Rest for 30-60 seconds between sets.
Exercise 4,Strength,TRX,Upper Body,Pull,"abdominals, obliques, shoulders",Maintain a neutral spine throughout the exercise.
Exercise 5,Mobility,Rope,Lower Body,Stretch,"pectorals, front deltoids, triceps",Keep your shoulders relaxed and down.
Exercise 6,Strength,Treadmill,Upper Body,Pull,"chest, triceps, front deltoids",Control your motion—avoid using momentum.
Exercise 7,Mobility,Rope,Core,Push,"calves, shoulders, forearms, core","Exhale while exerting force, and inhale while returning to start."
Exercise 8,Cardio,Resistance Band,Core,Hold,"calves, shoulders, forearms, core",Rest for 30-60 seconds between sets.
Exercise 9,Cardio,Treadmill,Core,Hold,"abdominals, obliques, shoulders",Perform slow and controlled repetitions.
Exercise 10,Mobility,Treadmill,Upper Body,Stretch,"lats, rhomboids, biceps",Maintain a neutral spine throughout the exercise.
Exercise 11,Warm-up,TRX,Lower Body,Pull,"rear deltoids, traps, rhomboids",Maintain a neutral spine throughout the exercise.
Exercise 12,Mobility,Barbell,Upper Body,Stretch,"traps, rear deltoids, biceps",Keep your shoulders relaxed and down.
Exercise 13,Mobility,Dumbbells,Core,Stretch,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 14,Strength,Barbell,Lower Body,Pull,"pectorals, front deltoids, triceps",Rest for 30-60 seconds between sets.
Exercise 15,Warm-up,Medicine Ball,Upper Body,Stretch,"pectorals, front deltoids, triceps",Rest for 30-60 seconds between sets.
Exercise 16,Mobility,Rope,Lower Body,Push,"deltoids, triceps",Control your motion—avoid using momentum.
Exercise 17,Strength,Treadmill,Lower Body,Hold,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 18,Strength,Resistance Band,Upper Body,Hold,"glutes, hamstrings, lower back",Perform slow and controlled repetitions.
Exercise 19,Strength,Treadmill,Core,Hold,"chest, triceps, front deltoids",Squeeze the target muscles at the top of the movement.
Exercise 20,Cardio,Barbell,Upper Body,Pull,"rear deltoids, traps, rhomboids",Keep your back straight and avoid locking your knees.
Exercise 21,Mobility,Bodyweight,Full Body,Hold,"spine extensors, abdominals, shoulders",Ensure full range of motion without overstretching.
Exercise 22,Strength,TRX,Lower Body,Hold,"quadriceps, glutes, hamstrings, core",Keep your shoulders relaxed and down.
Exercise 23,Strength,Cable Machine,Upper Body,Stretch,"calves, shoulders, forearms, core",Perform slow and controlled repetitions.
Exercise 24,Strength,Kettlebells,Full Body,Hold,"lats, rhomboids, biceps",Squeeze the target muscles at the top of the movement.
Exercise 25,Mobility,Kettlebells,Full Body,Pull,"spine extensors, abdominals, shoulders",Perform slow and controlled repetitions.
Exercise 26,Mobility,Rope,Full Body,Hold,"spine extensors, abdominals, shoulders",Squeeze the target muscles at the top of the movement.
Exercise 27,Strength,TRX,Lower Body,Pull,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 28,Warm-up,Barbell,Core,Hold,"spine extensors, abdominals, shoulders",Maintain a neutral spine throughout the exercise.
Exercise 29,Mobility,Cable Machine,Upper Body,Push,"chest, triceps, front deltoids",Ensure full range of motion without overstretching.
Exercise 30,Mobility,TRX,Core,Stretch,"abdominals, obliques, shoulders",Perform slow and controlled repetitions.
Exercise 31,Cardio,Resistance Band,Upper Body,Hold,"glutes, hamstrings, lower back",Control your motion—avoid using momentum.
Exercise 32,Mobility,Kettlebells,Core,Pull,"hip flexors, core, quadriceps",Maintain a neutral spine throughout the exercise.
Exercise 33,Strength,TRX,Upper Body,Push,"hip flexors, core, quadriceps",Stand tall and engage your core throughout the movement.
Exercise 34,Warm-up,Medicine Ball,Core,Stretch,"calves, shoulders, forearms, core",Ensure full range of motion without overstretching.
Exercise 35,Strength,Rope,Core,Stretch,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 36,Warm-up,Rope,Full Body,Pull,"glutes, hamstrings, lower back",Maintain a neutral spine throughout the exercise.
Exercise 37,Strength,Dumbbells,Upper Body,Hold,"rear deltoids, traps, rhomboids",Keep your back straight and avoid locking your knees.
Exercise 38,Mobility,Kettlebells,Core,Stretch,"glutes, hamstrings, calves",Ensure full range of motion without overstretching.
Exercise 39,Warm-up,Cable Machine,Lower Body,Push,"hip flexors, core, quadriceps",Control your motion—avoid using momentum.
Exercise 40,Mobility,Medicine Ball,Upper Body,Pull,"quadriceps, glutes, hamstrings, core",Rest for 30-60 seconds between sets.
Exercise 41,Warm-up,Dumbbells,Lower Body,Hold,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 42,Cardio,Dumbbells,Full Body,Hold,"chest, triceps, front deltoids",Squeeze the target muscles at the top of the movement.
Exercise 43,Mobility,Cable Machine,Full Body,Pull,"hip flexors, core, quadriceps",Keep your shoulders relaxed and down.
Exercise 44,Warm-up,Kettlebells,Upper Body,Push,"biceps, forearms, deltoids",Stand tall and engage your core throughout the movement.
Exercise 45,Cardio,Dumbbells,Core,Hold,"quadriceps, glutes, hamstrings, core",Perform slow and controlled repetitions.
